16:05:09.995 [main] INFO  com.dc.dms.Application - manageProductController
16:05:09.996 [main] INFO  com.dc.dms.Application - management.health.status-org.springframework.boot.actuate.autoconfigure.HealthIndicatorProperties
16:05:09.996 [main] INFO  com.dc.dms.Application - management.info-org.springframework.boot.actuate.autoconfigure.InfoContributorProperties
16:05:09.996 [main] INFO  com.dc.dms.Application - management.trace-org.springframework.boot.actuate.trace.TraceProperties
16:05:09.996 [main] INFO  com.dc.dms.Application - managementContextResolver
16:05:09.997 [main] INFO  com.dc.dms.Application - managementServerProperties
16:05:09.997 [main] INFO  com.dc.dms.Application - managementServletContext
16:05:09.997 [main] INFO  com.dc.dms.Application - mappingJackson2HttpMessageConverter
16:05:09.997 [main] INFO  com.dc.dms.Application - mbeanExporter
16:05:09.997 [main] INFO  com.dc.dms.Application - mbeanServer
16:05:09.998 [main] INFO  com.dc.dms.Application - messageConverters
16:05:09.998 [main] INFO  com.dc.dms.Application - metricReaderPublicMetrics
16:05:09.998 [main] INFO  com.dc.dms.Application - metricWritersMetricExporter
16:05:09.998 [main] INFO  com.dc.dms.Application - metricsEndpoint
16:05:09.998 [main] INFO  com.dc.dms.Application - metricsFilter
16:05:09.998 [main] INFO  com.dc.dms.Application - metricsMvcEndpoint
16:05:09.999 [main] INFO  com.dc.dms.Application - multipartConfigElement
16:05:09.999 [main] INFO  com.dc.dms.Application - multipartResolver
16:05:09.999 [main] INFO  com.dc.dms.Application - mvcEndpoints
16:05:09.999 [main] INFO  com.dc.dms.Application - namedParameterJdbcTemplate
16:05:10.000 [main] INFO  com.dc.dms.Application - objectNamingStrategy
16:05:10.000 [main] INFO  com.dc.dms.Application - org.springframework.aop.config.internalAutoProxyCreator
16:05:10.000 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.AuditAutoConfiguration
16:05:10.000 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.AuditAutoConfiguration$AuditEventRepositoryConfiguration
16:05:10.000 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.EndpointAutoConfiguration
16:05:10.000 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.EndpointAutoConfiguration$RequestMappingEndpointConfiguration
16:05:10.001 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.EndpointMBeanExportAutoConfiguration
16:05:10.001 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.EndpointWebMvcAutoConfiguration
16:05:10.001 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.EndpointWebMvcAutoConfiguration$ApplicationContextFilterConfiguration
16:05:10.001 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.EndpointWebMvcAutoConfiguration$EndpointWebMvcConfiguration
16:05:10.001 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.EndpointWebMvcManagementContextConfiguration
16:05:10.002 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.HealthIndicatorAutoConfiguration
16:05:10.002 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.HealthIndicatorAutoConfiguration$DataSourcesHealthIndicatorConfiguration
16:05:10.002 [main] INFO  com.dc.dms.Application - org.springframework.boot.actuate.autoconfigure.HealthIndicatorAutoConfiguration$DiskSpaceHealthIndicatorConfiguration
